id_expansion,expansion_code,name,release_date,code_source,n_singles
6314,,CSM1.5C: Battle Elite,2024-11-14,,88
3219,,Explosive Flame Walker,2020-05-25,,86
3284,,VMAX Rising,2020-06-08,,86
3886,,Champion Road,2021-03-17,,86
4182,,Megalo Cannon,2021-04-26,,86
5709,,Holon Research Tower,2024-04-08,,86
5710,,Mirage Forest,2024-04-08,,86
5712,,Rocket Gang Strikes Back,2024-04-08,,85
6392,,,2025-11-19,,85
1528,TR,Team Rocket,0000-00-00,tcg,84
4089,,BREAK Starter Pack: 20th Anniversary,2021-03-18,,84
5834,,,2024-07-23,,84
5864,,Undone Seal,2024-08-21,,83
6252,,CS4.5C: Final Flame Dance,2024-07-23,,83
3931,,Shining Legends JP,2021-03-17,,82
4274,,,2021-05-25,,82
5713,,Clash of the Blue Sky,2024-04-08,,82
5714,,Flight of Legends,2024-04-08,,82
4261,,Clash at the Summit,2021-05-25,,81
4265,,Reviving Legends,2021-05-25,,81
3354,,McDonald's Collection 2019 FR,2020-07-07,,80
3811,,Remix Bout,2021-03-15,,80
4034,,Tidal Storm,2021-03-18,,80
4039,,Gaia Volcano,2021-03-18,,80
5869,,Magma VS Aqua: Two Ambitions,2024-08-21,,80
4193,,Plasma Gale,2021-04-26,,79
4273,,HeartGold Collection,2021-05-25,,79
6276,,CS2.5C: Brilliant Counterattack,2024-07-24,,79
3906,,Ultra Moon,2021-03-17,,78
3911,,Ultra Sun,2021-03-17,,78
4243,,Sword & Shield Family Pokémon Card Game,2021-05-14,,78
4204,,Dark Rush,2021-04-26,,76
1532,N2,Neo Discovery,0000-00-00,tcg,75
3289,,Sword,2020-06-08,,75
3294,,Shield,2020-06-08,,75
3806,,Dream League,2021-03-15,,75
5700,,Miracle Crystal,2024-03-21,,75
6596,,Shadow Threat,2026-05-26,,74
3876,,Thunderclap Spark,2021-03-17,,73
3961,,Strength Expansion Pack Sun & Moon,2021-03-17,,73
3966,,Collection Moon,2021-03-17,,73
3971,,Collection Sun,2021-03-17,,73
4187,,Everyone's Exciting Battle Box,2021-04-27,,72
4210,,Red Collection,2021-04-26,,72
4272,,SoulSilver Collection,2021-05-25,,71
3846,,Night Unison,2021-03-15,,70
3946,,Facing a New Trial,2021-03-17,,70
4308,,Dawn Dash,2021-05-28,,70
4309,,Moonlit Pursuit,2021-05-28,,70
3821,,Sky Legend,2021-03-15,,69
3831,,GG End,2021-03-15,,69
3841,,Full Metal Wall,2021-03-15,,69
4347,CEL,Celebrations,2021-06-25,tcg,69
5693,,Offense and Defense of the Furthest Ends,2024-03-20,,68
6355,,Variety Treasure Box,2024-11-13,,68
1525,JU,Jungle,0000-00-00,tcg,66
1533,N3,Neo Revelation,0000-00-00,tcg,66
3108,,,2020-03-31,,66
3891,,Dragon Storm,2021-03-17,,66
3861,,Dark Order,2021-03-15,,65
4014,,Blue Shock,2021-03-18,,65
4019,,Red Flash,2021-03-18,,65
4194,,Cold Flare,2021-04-26,,65
4195,,Freeze Bolt,2021-04-26,,65
4304,,Temple of Anger,2021-05-28,,65
4305,,Cry from the Mysterious,2021-05-28,,65
4465,,Rocket Gang,2021-11-16,,65
3936,,Darkness that Consumes Light,2021-03-17,,64
3941,,To Have Seen the Battle Rainbow,2021-03-17,,64
4064,,Collection X,2021-03-18,,64
1526,FO,Fossil,0000-00-00,tcg,63
3871,,Fairy Rise,2021-03-17,,63
3901,,Ultra Force,2021-03-17,,63
4059,,Collection Y,2021-03-18,,63
4350,,,2021-06-29,,63
6600,,Black Sparkle,2026-06-02,,63
6605,,Stellar Guidance,2026-06-02,,63
1609,,,0000-00-00,,62
1758,,SM Trainer Kit: Lycanroc & Alolan Raichu,2017-01-26,,62
3921,,Ultradimensional Beasts,2021-03-17,,62
3926,,Awakened Heroes,2021-03-17,,62
3951,,Alolan Moonlight,2021-03-17,,62
3956,,Islands Await You,2021-03-17,,62
4361,,Gift Box Mew • Lucario,2021-08-03,,62
6419,,Stellar Lightning,2025-12-09,,62
6597,,Transfiguration Mask,2026-06-02,,62
1630,,BW Trainer Kit,0000-00-00,,61
1631,,XY Trainer Kit,0000-00-00,,61
